proceeding_name,city
"2023 International Conference on Computer, Vision and Intelligent Technology, ICCVIT 2023",Chenzhou
"11th International Conference on Affective Computing and Intelligent Interaction, ACII 2023",Cambridge
"17th Workshop on Recent Advances in Slavonic Natural Language Processing, RASLAN 2023",Kouty nad Desnou
"38th Annual ACM Symposium on Applied Computing, SAC 2023",Tallinn
"9th International Conference on Big Data Computing and Communications, BigCom 2023",Hainan
"2023 Smart Systems Integration Conference and Exhibition, SSI 2023",Brugge
"2nd International Conference on Data Analytics, Computing and Artificial Intelligence, ICDACAI 2023",Zakopane
"2nd IEEE North Karnataka Subsection Flagship International Conference, NKCon 2023",Karnataka
"Workshops of the EDBT/ICDT 2024 Joint Conference, EDBT/ICDT-WS 2024",Paestum
"14th International Conference on Emerging Ubiquitous Systems and Pervasive Networks / 13th International Conference on Current and Future Trends of Information and Communication Technologies in Healthcare, EUSPN/ICTH 2023",Almaty
"23rd International Conference on Computing Education Research, Koli Calling 2023","Hybrid, Koli"
"2nd International Conference on Advances in Computational Intelligence and Communication, ICACIC 2023",Puducherry
"3rd IEEE International Conference on ICT in Business Industry and Government, ICTBIG 2023",Indore
"1st Workshop on Computational Terminology in NLP and Translation Studies, ConTeNTS 2023",Varna
"3rd International Conference on Evolutionary Computing and Mobile Sustainable Networks, ICECMSN 2023","Hybrid,Coimbatore"
"4th International Conference on Computers, Information Processing and Advanced Education, CIPAE 2023",Ottawa
"11th IEEE International Conference on Systems and Control, ICSC 2023",Sousse
"27th International Conference on Database Theory, ICDT 2024",Paestum
"22nd International Conference of the Biometrics Special Interest Group, BIOSIG 2023",Darmstadt
"8th IEEE International Conference on Smart Cloud, SmartCloud 2023",Tokyo
"19th International Symposium on Medical Information Processing and Analysis, SIPAIM 2023",Mexico City
"13th International Conference on Dependable Systems, Services and Technologies, DESSERT 2023",Athens
"9th International Conference on Computing and Artificial Intelligence, ICCAI 2023",Tianjin
"23rd Edition of the ACM Internet Measurement Conference, IMC 2023",Montreal
"2023 IEEE International Joint Conference on Biometrics, IJCB 2023",Ljubljana
"1st International Conference on Recent Developments in Electronics and Communication Systems, RDECS 2022",Surampalem
"12th International Symposium on Mobile Mapping Technology, MMT 2023",Padua
37th EnviroInfo 2023,Garching
"2023 Computer Applications and Technological Solutions, CATS 2023",Mubarak Al-Abdullah
"16th International Symposium on Visual Information Communication and Interaction, VINCI 2023",Guangzhou
"3rd IEEE International Conference on Intelligent Technology and Embedded Systems, ICITES 2023",Huzhou
"14th International Conference on Intelligent Systems: Theories and Applications, SITA 2023",Casablanca
"2023 International Conference on Integration of Computational Intelligent System, ICICIS 2023",Pune
"31st ACM International Conference on Multimedia, MM 2023",Ottawa
"1st Workshop on Generalisation (Benchmarking) in NLP, GenBench 2023",Singapore
"2023 International Conference on Electronics, Computers and Communication Technology, CECCT 2023",Guilin
"7th International Conference on Electronics, Communication and Aerospace Technology, ICECA 2023",Coimbatore
"2023 International Conference on Radar, Antenna, Microwave, Electronics, and Telecommunications, ICRAMET 2023","Virtual, Online"
"23rd IEEE International Symposium on Computational Intelligence and Informatics, CINTI 2023",Budapest
"20th International Conference on Data Science, Agents and Artificial Intelligence, ICDSAAI 2023",Chennai
"7th International Conference on Video and Image Processing, ICVIP 2023",Kyoto
"11th IEEE International Conference on Intelligent Computing and Information Systems, ICICIS 2023",Cairo
"6th International Conference on Signal Processing and Machine Learning, SPML 2023",Tianjin
"20th Free and Open Source Software for Geospatial, FOSS4G 2023",Prizren
"8th International Conference on Information Technology and Digital Applications, ICITDA 2023",Yogyakarta
"11th ACM Workshop on Information Hiding and Multimedia Security, IH and MMSec 2023",Chicago
20th Geoinformation Week: Broadening Geospatial Science and Technology 2022,"Virtual, Online"
"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023",Copenhagen
"12th International Conference on Software and Information Engineering, ICSIE 2023",Sharm El-Sheikh
"55th Annual ACM Symposium on Theory of Computing, STOC 2023",Orlando
"34th ACM Conference on Hypertext and Social Media, HT 2023",Rome
"2023 ACM Conference on Equity and Access in Algorithms, Mechanisms, and Optimization, EAAMO 2023",Boston
"5th International Conference on Control Systems, Mathematical Modeling, Automation and Energy Efficiency, SUMMA 2023",Lipetsk
"14th ACM Symposium on Cloud Computing, SoCC 2023",Santa Cruz
"13th Annual IEEE Global Humanitarian Technology Conference, GHTC 2023",Radnor
"2023 Symposium on Internet of Things, SIoT 2023",Sao Paulo
"2024 International Conference on Electronics, Information, and Communication, ICEIC 2024",Taipei
"6th International Conference on Informatics and Data-Driven Medicine, IDDM 2023",Bratislava
"29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD 2023",Long Beach
"7th IEEE International Conference of Computer Science and Information Technology, ICOSNIKOM 2023","Hybrid, Binjia"
"18th International Conference on Ubiquitous Information Management and Communication, IMCOM 2024",Kuala Lumpur
"11th International Conference on Information Systems and Computing Technology, ISCTech 2023",Qingdao
"18th International Symposium on Spatial and Temporal Data, SSTD 2023",Calgary
"7th International Conference on Machine Learning and Soft Computing, ICMLSC 2023",Chongqing
"3rd International Conference on Emerging Frontiers in Electrical and Electronic Technologies, ICEFEET 2023",Patna
"14th International Conference on E-business, Management and Economics, ICEME 2023",Beijing
"2023 International Conference on Computer Network Security and Software Engineering, CNSSE 2023",Sanya
"26th International Conference on Database Theory, ICDT 2023",Ioannina
"18th ACM ASIA Conference on Computer and Communications Security, ASIA CCS 2023",Melbourne
"2023 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies, 3ICT 2023","Virtual, Online"
"31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering, ESEC/FSE 2023",San Francisco
"54th ACM Technical Symposium on Computer Science Education, SIGCSE 2023",Toronto
"50th Computing in Cardiology, CinC 2023",Atlanta
"25th International Conference on Database Theory, ICDT 2022",Ioannina
"2023 IEEE International Conference on Visual Communications and Image Processing, VCIP 2023",Jeju
"2023 IEEE Latin American Conference on Computational Intelligence, LA-CCI 2023",Recife-Pe
"23th International Conference on Database Theory, ICDT 2020",Ioannina
"62nd Annual Conference of the Society of Instrument and Control Engineers, SICE 2023",Tsu
"12th IEEE International Conference on Communication, Networks and Satellite, COMNETSAT 2023",Malang
"6th International Conference on Electronics, Communications and Control Engineering, ICECC 2023",Fukuoka
"2nd International Conference of the Greece ACM SIGCHI Chapter, CHIGreece 2023",Athens
"2023 CoNEXT Student Workshop, CoNEXT-SW 2023",Paris
"1st Workshop on Simplicity in Management of Data, SiMoD 2023",Bellevue
"2nd International Conference on Ambient Intelligence in Health Care, ICAIHC 2023",Bhubaneswar
"5th International Conference on Information Technology and Computer Communications, ITCC 2023",Tianjin
"7th International Conference on Electronics, Materials Engineering and Nano-Technology, IEMENTech 2023","Hybrid, Kolkata"
"2nd International Conference on Artificial Intelligence and Intelligent Information Processing, AIIIP 2023",Hangzhou
"8th International Conference on Informatics and Computing, ICIC 2023","Hybrid, Malang"
"2023 IEEE International Workshop on Mechatronics Systems Supervision, IW_MSS 2023",Hammamet
15th ITG Conference on Speech Communication 2023,Aachen
"27th ACM International Systems and Software Product Line Conference, SPLC 2023",Tokyo
"8th ACM SIGIR Conference on Human Information Interaction and Retrieval, CHIIR 2023",Austin
"46th International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR 2023",Taipei
"20th Workshop on Human-In-the-Loop Data Analytics, HILDA 2023",Seattle
"24th International Conference on Database Theory, ICDT 2021",Ioannina
"9th International Conference on Big Data and Information Analytics, BigDIA 2023",Haikou
"22nd ACM/IEEE International Conference on Information Processing in Sensor Networks, IPSN 2023",San Antonio
"2023 International Conference on the Confluence of Advancements in Robotics, Vision and Interdisciplinary Technology Management, IC-RVITM 2023",Bangalore
"8th International Conference on Information and Education Innovations, ICIEI 2023",Manchester
"11th ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data, BigSpatial 2023",Hamburg
"19th International Workshop on Data Management on New Hardware, DaMoN 2023",Seattle
"7th Workshop on Data Management for End-To-End Machine Learning, DEEM 2023",Seattle
"1st Workshop on Verifiable Database Systems, VDBS 2023",Seattle
"4th International Informatics and Software Engineering Conference, IISEC 2023",Ankara
"28th ACM SIGPLAN Annual Symposium on Principles and Practice of Parallel Programming, PPoPP 2023",Montreal
"19th IEEE International Conference on e-Business Engineering, ICEBE 2023",Sydney
"2nd International Workshop on Social Communication and Information Activity in Digital Humanities, SCIA 2023",Lviv
"2023 IEEE International Conference on Next Generation Electronics, NEleX 2023",Vellore
"28th International Conference on Intelligent User Interfaces, IUI 2023",Sydney
"20th ACM/SIGMOD International Conference on Management of Data, SIGMOD 2023",Seattle
"18th European Conference on Computer Systems, EuroSys 2023",Rome
"29th ACM SIGPLAN Annual Symposium on Principles and Practice of Parallel Programming, PPoPP 2024",Edinburgh
"6th ACM India Joint International Conference on Data Science and Management of Data, CODS-COMAD 2023",Mumbai
"12th International Conference on Networks, Communication and Computing, Conference Proceedings, ICNCC 2023",Osaka
"27th International Database Engineered Applications Symposium, IDEAS 2023",Heraklion
"3rd International Conference on Machine Learning and Big Data Analytics for IoT Security and Privacy, SPIoT2023",
"19th Workshop on Hot Topics in Operating Systems, HotOS 2023",Providence
"2023 International Conference on Recent Advances in Science and Engineering Technology, ICRASET 2023",B.G Nagara
"6th International Conference on Applied Computational Intelligence in Information Systems, ACIIS 2023",Bandar Seri Begawan
"2023 ACM/SIGMOD International Conference on Management of Data, SIGMOD 2023",Seattle
"20th IEEE International Joint Conference on Biometrics, IJCB 2023",Ljubljana
"14th ACM/IEEE International Conference on Cyber-Physical Systems, with CPS-IoT Week 2023, ICCPS 2023",San Antonio
"8th International Conference on Control Engineering and Artificial Intelligence, CCEAI 2024",Shanghai
"4th International Workshop on Computational Approaches to Historical Language Change, LChange 2023",Singapore
"28th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, ASPLOS 2023",Vancouver
"2nd ACM SIGSPATIAL International Workshop on Searching and Mining Large Collections of Geospatial Data, GeoSearch 2023",Hamburg
"3rd International Conference on Innovative Sustainable Computational Technologies, CISCT 2023",Dehradun
"1st IEEE Colombian Caribbean Conference, C3 2023",Barranquilla
"14th ACM Conference on Bioinformatics, Computational Biology, and Health Informatics, ACM-BCB 2023",Houston
"26th International Conference on Extending Database Technology, EDBT 2023",Ioannina
"11th International Symposium on Computing and Networking Workshops, CANDARW 2023",Matsue
"7th ACM SIGSPATIAL International Workshop on Geospatial Humanities, GeoHumanities 2023",Hamburg
"3rd International Conference on Advanced Computing Technologies and Applications, ICACTA 2023",Mumbai
"20th IEEE High Performance Extreme Computing Conference, HPEC 2023","Virtual, Online"
"3rd International Conference on Intelligent Cybernetics Technology and Applications, ICICyTA 2023","Hybrid, Bali"
"2023 Learning. Knowledge. Data. Analytics, LWDA 2023",Marburg
"9th IEEE International Conference on Smart Structures and Systems, ICSSS 2023",Chennai
"18th Conference of the European Chapter of the Association for Computational Linguistics, EACL 2024",St. Julian's
"16th IEEE Malaysia International Conference on Communication, MICC 2023",Kuala Lumpur
"9th IEEE International Conference on Smart Instrumentation, Measurement and Applications, ICSIMA 2023",Kuala Lumpur
"21st International Conference on Advanced Robotics, ICAR 2023",Abu Dhabi
"20th Genetic and Evolutionary Computation Conference Companion, GECCO 2023",Lisbon
"37th ACM International Conference on Supercomputing, ICS 2023",Orlando
"29th CIPA Symposium on Documenting, Understanding, Preserving Cultural Heritage. Humanities and Digital Technologies for Shaping the Future 2023",Florence
"3rd International Conference on Bioinformatics and Intelligent Computing, BIC 2023",Sanya
"10th International Scientific Conference ""Information Technology and Implementation"", IT and I-WS 2023",Kyiv
2023 Findings of the Association for Computational Linguistics: EMNLP 2023,Singapore
"4th IEEE International Conference on Computing, Communication, and Intelligent Systems, ICCCIS 2023",Greater Noida
