start_id,end_id
10.1109/ICAIHC59020.2023.10430485,"International Conference on Ambient Intelligence in Health Care, ICAIHC"
10.1109/IEMENTech60402.2023.10423464,"International Conference on Electronics, Materials Engineering and Nano-Technology, IEMENTech"
10.1109/ICEFEET59656.2023.10452246,"International Conference on Emerging Frontiers in Electrical and Electronic Technologies, ICEFEET"
10.4230/LIPIcs.MFCS.2023.39,"International Symposium on Mathematical Foundations of Computer Science, MFCS"
,"International Workshop on Computational Approaches to Historical Language Change, LChange"
10.1145/3584371.3612990,"ACM Conference on Bioinformatics, Computational Biology, and Health Informatics, ACM-BCB"
10.1109/IC-RVITM60032.2023.10435190,"International Conference on the Confluence of Advancements in Robotics, Vision and Interdisciplinary Technology Management, IC-RVITM"
10.4230/LIPIcs.ICDT.2023.6,"International Conference on Database Theory, ICDT"
10.1145/3584372.3588666,"ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems, PODS"
,"Conference on Empirical Methods in Natural Language Processing, EMNLP"
10.1145/3580305.3599395,"ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD"
10.1145/3618257.3624843,"Edition of the ACM Internet Measurement Conference, IMC"
10.1109/ICEDCS60513.2023.00084,"International Conference on Electronics and Devices, Computational Science, ICEDCS"
10.1109/DSC61021.2023.10354217,"IEEE Conference on Dependable and Secure Computing, DSC"
10.4230/LIPIcs.ICDT.2024.4,"International Conference on Database Theory, ICDT"
10.1145/3595647.3595651,"Workshop on Verifiable Database Systems, VDBS"
10.1145/3630202.3630225,"CoNEXT Student Workshop, CoNEXT-SW"
10.1145/3617694.3623223,"ACM Conference on Equity and Access in Algorithms, Mechanisms, and Optimization, EAAMO"
10.30420/456164024,ITG Conference on Speech Communication
10.4230/LIPIcs.ICDT.2023.24,"International Conference on Database Theory, ICDT"
10.1145/3615522.3615555,"International Symposium on Visual Information Communication and Interaction, VINCI"
10.1109/ICITES59818.2023.10356864,"IEEE International Conference on Intelligent Technology and Embedded Systems, ICITES"
10.1109/ICEDCS60513.2023.00131,"International Conference on Electronics and Devices, Computational Science, ICEDCS"
10.1109/ACII59096.2023.10388135,"International Conference on Affective Computing and Intelligent Interaction, ACII"
10.1109/BIOSIG58226.2023.10345994,"International Conference of the Biometrics Special Interest Group, BIOSIG"
10.1145/3595360.3595853,"Workshop on Data Management for End-To-End Machine Learning, DEEM"
,"Learning. Knowledge. Data. Analytics, LWDA"
10.1145/3620678.3624656,"ACM Symposium on Cloud Computing, SoCC"
10.1109/ICIC60109.2023.10381942,"International Conference on Informatics and Computing, ICIC"
10.1109/MICC59384.2023.10419720,"IEEE Malaysia International Conference on Communication, MICC"
10.1109/ICDACAI59742.2023.00127,"International Conference on Data Analytics, Computing and Artificial Intelligence, ICDACAI"
10.1109/AMCAI59331.2023.10431516,"IEEE Afro-Mediterranean Conference on Artificial Intelligence, AMCAI"
10.4230/LIPIcs.ICDT.2024.20,"International Conference on Database Theory, ICDT"
10.1145/3570991.3571009,"ACM India Joint International Conference on Data Science and Management of Data, CODS-COMAD"
10.1145/3545947.3576350,"ACM Technical Symposium on Computer Science Education, SIGCSE"
10.1109/CATS58046.2023.10424267,"Computer Applications and Technological Solutions, CATS"
10.1145/3592686.3592756,"International Conference on Bioinformatics and Intelligent Computing, BIC"
10.1109/3ICT60104.2023.10391650,"2023 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies, 3ICT 2023"
,EnviroInfo
10.1109/BigDIA60676.2023.10429411,"International Conference on Big Data and Information Analytics, BigDIA"
10.1145/3575693.3575699,"ACM International Conference on Architectural Support for Programming Languages and Operating Systems, ASPLOS"
10.1109/IMCOM60618.2024.10418292,"International Conference on Ubiquitous Information Management and Communication, IMCOM"
10.1145/3597465.3605224,"Workshop on Human-In-the-Loop Data Analytics, HILDA"
10.1109/SmartCloud58862.2023.00020,"IEEE International Conference on Smart Cloud, SmartCloud"
10.1109/SUMMA60232.2023.10349480,"International Conference on Control Systems, Mathematical Modeling, Automation and Energy Efficiency, SUMMA"
10.1145/3638837.3638845,"International Conference on Networks, Communication and Computing, Conference Proceedings, ICNCC"
10.1145/3584371.3613022,"ACM Conference on Bioinformatics, Computational Biology, and Health Informatics, ACM-BCB"
10.1145/3555776.3577652,"Annual ACM Symposium on Applied Computing, SAC"
10.1117/12.3021729,"International Conference on Biological Engineering and Medical Science, ICBioMed"
10.1109/ICSIMA59853.2023.10373467,"IEEE International Conference on Smart Instrumentation, Measurement and Applications, ICSIMA"
10.1109/ICTBIG59752.2023.10456032,"IEEE International Conference on ICT in Business Industry and Government, ICTBIG"
10.1145/3595360.3595858,"Workshop on Data Management for End-To-End Machine Learning, DEEM"
10.1109/SITA60746.2023.10373743,"International Conference on Intelligent Systems: Theories and Applications, SITA"
,"Workshop on Recent Advances in Slavonic Natural Language Processing, RASLAN"
10.1145/3584372.3588676,"ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems, PODS"
10.1145/3633053.3633059,"Conference on Computing Education Practice, CEP"
10.1109/MODELS-C59198.2023.00009,"ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS-C"
10.1145/3576915.3624394,"ACM SIGSAC Conference on Computer and Communications Security, CCS"
10.1145/3584371.3612997,"ACM Conference on Bioinformatics, Computational Biology, and Health Informatics, ACM-BCB"
10.1109/ICAR58858.2023.10406721,"International Conference on Advanced Robotics, ICAR"
10.1109/IJCB57857.2023.10449189,"IEEE International Joint Conference on Biometrics, IJCB"
10.1145/3600006.3613174,"ACM Symposium on Operating Systems Principles, SOSP"
10.1145/3581783.3611860,"ACM International Conference on Multimedia, MM"
10.1145/3589132.3625623,"ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL GIS"
10.1109/ICCCIS60361.2023.10425178,"IEEE International Conference on Computing, Communication, and Intelligent Systems, ICCCIS"
10.1109/APWiMob59963.2023.10365603,"IEEE Asia Pacific Conference on Wireless and Mobile, APWiMob"
,"International Workshop on Social Communication and Information Activity in Digital Humanities, SCIA"
10.1145/3592980.3595316,"International Workshop on Data Management on New Hardware, DaMoN"
10.1109/SITA60746.2023.10373691,"International Conference on Intelligent Systems: Theories and Applications, SITA"
10.1145/3596225.3596230,"Workshop on Simplicity in Management of Data, SiMoD"
10.1145/3617695.3617702,"International Conference on Big Data and Internet of Things, BDIOT"
10.1145/3592980.3595311,"International Workshop on Data Management on New Hardware, DaMoN"
10.1145/3544549.3585884,"CHI Conference on Human Factors in Computing Systems, CHI"
10.1145/3577163.3595091,"ACM Workshop on Information Hiding and Multimedia Security, IH and MMSec"
10.1145/3539618.3591702,"International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR"
10.1109/AIIIP61647.2023.00007,"International Conference on Artificial Intelligence and Intelligent Information Processing, AIIIP"
10.1145/3620678.3624668,"ACM Symposium on Cloud Computing, SoCC"
10.1109/CANDAR60563.2023.00028,"International Symposium on Computing and Networking, CANDAR"
10.1145/3627535.3638478,"ACM SIGPLAN Annual Symposium on Principles and Practice of Parallel Programming, PPoPP"
10.1145/3611643.3613893,"ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering, ESEC/FSE"
,"Conference of the European Chapter of the Association for Computational Linguistics, EACL"
10.1145/3564246.3585175,"Annual ACM Symposium on Theory of Computing, STOC"
10.1109/ISCTech60480.2023.00094,"International Conference on Information Systems and Computing Technology, ISCTech"
10.1145/3588195.3592982,"International Symposium on High-Performance Parallel and Distributed Computing, HPDC"
10.1145/3637494.3637516,"International Conference on Electronics, Computers and Communication Technology, CECCT"
10.1145/3614008.3614044,"International Conference on Signal Processing and Machine Learning, SPML"
10.1145/3555041.3589400,"ACM/SIGMOD International Conference on Management of Data, SIGMOD"
10.1145/3603163.3609049,"ACM Conference on Hypertext and Social Media, HT"
10.1016/j.procs.2023.11.007,"3rd International Conference on Machine Learning and Big Data Analytics for IoT Security and Privacy, SPIoT2023"
10.1109/BIGCOM61073.2023.00024,"International Conference on Big Data Computing and Communications, BigCom"
10.1145/3589132.3625601,"ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL GIS"
10.1145/3555041.3589402,"ACM/SIGMOD International Conference on Management of Data, SIGMOD"
10.1109/ICICIS58388.2023.10391183,"IEEE International Conference on Intelligent Computing and Information Systems, ICICIS"
10.1145/3555041.3590816,"ACM/SIGMOD International Conference on Management of Data, SIGMOD"
10.5194/isprs-archives-XLVIII-1-W1-2023-311-2023,"International Symposium on Mobile Mapping Technology, MMT"
10.1145/3631802.3631821,"International Conference on Computing Education Research, Koli Calling"
10.1145/3545945.3569727,"ACM Technical Symposium on Computer Science Education, SIGCSE"
10.1109/SUMMA60232.2023.10349498,"International Conference on Control Systems, Mathematical Modeling, Automation and Energy Efficiency, SUMMA"
10.1109/BIOSIG58226.2023.10345997,"International Conference of the Biometrics Special Interest Group, BIOSIG"
10.1145/3609956.3609968,"International Symposium on Spatial and Temporal Data, SSTD"
10.1145/3592980.3595300,"International Workshop on Data Management on New Hardware, DaMoN"
10.1109/SSI58917.2023.10387755,"Smart Systems Integration Conference and Exhibition, SSI"
10.5194/isprs-archives-XLVIII-4-W6-2022-261-2023,Geoinformation Week: Broadening Geospatial Science and Technology
10.26615/978-954-452-090-8_002,"Workshop on Computational Terminology in NLP and Translation Studies, ConTeNTS"
10.1109/CANDARW60564.2023.00013,"International Symposium on Computing and Networking Workshops, CANDARW"
10.1109/CIPAE60493.2023.00019,"International Conference on Computers, Information Processing and Advanced Education, CIPAE"
10.1145/3581641.3584067,"International Conference on Intelligent User Interfaces, IUI"
10.23919/SICE59929.2023.10354252,"Annual Conference of the Society of Instrument and Control Engineers, SICE"
10.1145/3615890.3628537,"ACM SIGSPATIAL International Workshop on Searching and Mining Large Collections of Geospatial Data, GeoSearch"
10.1109/IISEC59749.2023.10391023,"International Informatics and Software Engineering Conference, IISEC"
10.1109/ICRAMET60171.2023.10366632,"International Conference on Radar, Antenna, Microwave, Electronics, and Telecommunications, ICRAMET"
10.1145/3615522.3615529,"International Symposium on Visual Information Communication and Interaction, VINCI"
10.1109/VizSec60606.2023.00011,"IEEE Symposium on Visualization for Cyber Security, VizSec"
10.1109/IEMENTech60402.2023.10423485,"International Conference on Electronics, Materials Engineering and Nano-Technology, IEMENTech"
10.1145/3583133.3590662,"Genetic and Evolutionary Computation Conference Companion, GECCO"
10.1145/3583120.3586957,"ACM/IEEE International Conference on Information Processing in Sensor Networks, IPSN"
10.1145/3576841.3589614,ICCPS
10.1145/3555041.3590817,"ACM/SIGMOD International Conference on Management of Data, SIGMOD"
10.1109/NKCon59507.2023.10396396,"IEEE North Karnataka Subsection Flagship International Conference, NKCon"
10.1109/ICTBIG59752.2023.10456144,"IEEE International Conference on ICT in Business Industry and Government, ICTBIG"
10.1109/BIOSIG58226.2023.10345977,"International Conference of the Biometrics Special Interest Group, BIOSIG"
10.1109/IJCB57857.2023.10448552,"IEEE International Joint Conference on Biometrics, IJCB"
10.1016/j.procs.2023.12.042,"International Conference on Evolutionary Computing and Mobile Sustainable Networks, ICECMSN"
10.3233/ATDE221245,"International Conference on Recent Developments in Electronics and Communication Systems, RDECS"
10.1201/9781032684994-76,"Conference on Artificial Intelligence, Blockchain, Computing and Security, ICABCS"
10.1109/ICSSS58085.2023.10407074,"IEEE International Conference on Smart Structures and Systems, ICSSS"
10.1145/3572848.3577433,"ACM SIGPLAN Annual Symposium on Principles and Practice of Parallel Programming, PPoPP"
10.1109/ICDSAAI59313.2023.10452571,"International Conference on Data Science, Agents and Artificial Intelligence, ICDSAAI"
10.1145/3615887.3627753,"ACM SIGSPATIAL International Workshop on Geospatial Humanities, GeoHumanities"
10.1109/HPEC58863.2023.10363590,"IEEE High Performance Extreme Computing Conference, HPEC"
10.48786/edbt.2023.53,"International Conference on Extending Database Technology, EDBT"
10.1109/PuneCon58714.2023.10450006,"IEEE Pune Section International Conference, PuneCon"
10.1145/3589462.3589488,"International Database Engineered Applications Symposium, IDEAS"
,"Joint Conference, EDBT/ICDT-WS"
10.4230/LIPIcs.ICDT.2023.12,"International Conference on Database Theory, ICDT"
10.4230/LIPIcs.ICDT.2023.3,"International Conference on Database Theory, ICDT"
10.4230/LIPIcs.ICDT.2023.19,"International Conference on Database Theory, ICDT"
10.4230/LIPIcs.ICDT.2023.20,"International Conference on Database Theory, ICDT"
10.4230/LIPIcs.ICDT.2023.10,"International Conference on Database Theory, ICDT"
10.1145/3614321.3614381,"International Conference on Theory and Practice of Electronic Governance, ICEGOV"
,"International Conference on Grey Literature: Confronting Climate Change with Trusted Grey Resources, GL"
10.1109/COMNETSAT59769.2023.10420796,"IEEE International Conference on Communication, Networks and Satellite, COMNETSAT"
10.1109/ICOIACT59844.2023.10455894,"International Conference on Information and Communications Technology, ICOIACT"
10.1109/IW_MSS59200.2023.10368597,"IEEE International Workshop on Mechatronics Systems Supervision, IW_MSS"
10.1145/3592980.3595304,"International Workshop on Data Management on New Hardware, DaMoN"
10.1145/3592980.3595317,"International Workshop on Data Management on New Hardware, DaMoN"
10.1109/C358072.2023.10436245,"1st IEEE Colombian Caribbean Conference, C3 2023"
10.1109/CINTI59972.2023.10381957,"IEEE International Symposium on Computational Intelligence and Informatics, CINTI"
10.1109/GHTC56179.2023.10354568,"Annual IEEE Global Humanitarian Technology Conference, GHTC"
10.1109/ICEIC61013.2024.10457244,"International Conference on Electronics, Information, and Communication, ICEIC"
10.1109/ICSIMA59853.2023.10373533,"IEEE International Conference on Smart Instrumentation, Measurement and Applications, ICSIMA"
10.1109/OCIT59427.2023.10430516,"OITS International Conference on Information Technology, OCIT"
10.1109/ICoSNIKOM60230.2023.10364398,"IEEE International Conference of Computer Science and Information Technology, ICOSNIKOM"
10.1109/CISCT57197.2023.10351356,"International Conference on Innovative Sustainable Computational Technologies, CISCT"
10.1145/3597926.3598116,"ACM SIGSOFT International Symposium on Software Testing and Analysis, ISSTA"
10.1145/3580305.3599405,"ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD"
10.1145/3594315.3594407,"International Conference on Computing and Artificial Intelligence, ICCAI"
10.1109/ICICyTA60173.2023.10428947,"International Conference on Intelligent Cybernetics Technology and Applications, ICICyTA"
10.1145/3592307.3592330,"International Conference on Electronics, Communications and Control Engineering, ICECC"
10.1145/3616712.3616791,"International Conference on E-business, Management and Economics, ICEME"
10.1109/ACIIS59385.2023.10367332,"International Conference on Applied Computational Intelligence in Information Systems, ACIIS"
10.1145/3544549.3585794,"CHI Conference on Human Factors in Computing Systems, CHI"
10.1145/3603165.3607435,"ACM Turing Award Celebration Conference, CHINA"
10.1109/ICEDCS60513.2023.00059,"International Conference on Electronics and Devices, Computational Science, ICEDCS"
10.1109/SIPAIM56729.2023.10373523,"International Symposium on Medical Information Processing and Analysis, SIPAIM"
10.1145/3609987.3609994,"International Conference of the Greece ACM SIGCHI Chapter, CHIGreece"
10.1109/ICACIC59454.2023.10435349,"International Conference on Advances in Computational Intelligence and Communication, ICACIC"
10.1016/j.procs.2023.11.108,"3rd International Conference on Machine Learning and Big Data Analytics for IoT Security and Privacy, SPIoT2023"
10.1109/CISCT57197.2023.10351417,"International Conference on Innovative Sustainable Computational Technologies, CISCT"
10.1109/LA-CCI58595.2023.10409408,"IEEE Latin American Conference on Computational Intelligence, LA-CCI"
10.5194/isprs-archives-XLVIII-1-W1-2023-511-2023,"International Symposium on Mobile Mapping Technology, MMT"
10.48786/edbt.2023.48,"International Conference on Extending Database Technology, EDBT"
10.1145/3584372.3588672,"ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems, PODS"
10.1145/3634848.3634859,"International Conference on Software and Information Engineering, ICSIE"
10.1117/12.2683433,"International Conference on Computer Network Security and Software Engineering, CNSSE"
10.1109/ICNGN59831.2023.10396786,"International Conference on Intelligent Computing and Next Generation Networks, ICNGN"
10.1145/3594441.3594448,"International Conference on Information and Education Innovations, ICIEI"
10.1145/3583788.3583819,"International Conference on Machine Learning and Soft Computing, ICMLSC"
10.1145/3615833.3628590,"ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data, BigSpatial"
10.1145/3584372.3588680,"ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems, PODS"
10.1109/ICAICA58456.2023.10405528,"International Conference on Artificial Intelligence and Computer Applications, ICAICA"
10.1145/3576840.3578281,"ACM SIGIR Conference on Human Information Interaction and Retrieval, CHIIR"
10.4230/LIPIcs.ICDT.2024.23,"International Conference on Database Theory, ICDT"
10.48786/edbt.2023.42,"International Conference on Extending Database Technology, EDBT"
10.1145/3552326.3567494,"European Conference on Computer Systems, EuroSys"
10.22489/CinC.2023.164,"Computing in Cardiology, CinC"
10.1109/ICEBE59045.2023.00043,"IEEE International Conference on e-Business Engineering, ICEBE"
10.1145/3555041.3589404,"ACM/SIGMOD International Conference on Management of Data, SIGMOD"
10.1109/ICEDCS60513.2023.00105,"International Conference on Electronics and Devices, Computational Science, ICEDCS"
10.1109/BigDIA60676.2023.10429609,"International Conference on Big Data and Information Analytics, BigDIA"
10.1109/CIPAE60493.2023.00053,"International Conference on Computers, Information Processing and Advanced Education, CIPAE"
10.1145/3552326.3587434,"European Conference on Computer Systems, EuroSys"
10.1145/3639390.3639393,"International Conference on Video and Image Processing, ICVIP"
,"Machine Translation Summit, MT Summit"
10.1145/3627341.3630376,"International Conference on Computer, Vision and Intelligent Technology, ICCVIT"
10.1145/3539618.3591637,"International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR"
10.1145/3613917.3613923,"International Conference on Multimedia Systems and Signal Processing, ICMSSP"
10.48786/edbt.2023.52,"International Conference on Extending Database Technology, EDBT"
10.5194/isprs-archives-XLVIII-M-2-2023-1665-2023,"CIPA Symposium on Documenting, Understanding, Preserving Cultural Heritage. Humanities and Digital Technologies for Shaping the Future"
10.5194/isprs-archives-XLVIII-4-W7-2023-261-2023,"20th Free and Open Source Software for Geospatial, FOSS4G 2023"
10.1145/3555776.3577733,"Annual ACM Symposium on Applied Computing, SAC"
10.1145/3580305.3599352,"ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD"
10.1145/3552326.3567492,"European Conference on Computer Systems, EuroSys"
10.1145/3580305.3599543,"ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD"
10.1145/3588195.3595942,"International Symposium on High-Performance Parallel and Distributed Computing, HPDC"
10.1145/3593856.3595905,"Workshop on Hot Topics in Operating Systems, HotOS"
10.1109/VCIP59821.2023.10402756,"IEEE International Conference on Visual Communications and Image Processing, VCIP"
10.1145/3640824.3640869,"International Conference on Control Engineering and Artificial Intelligence, CCEAI"
10.1109/CIPAE60493.2023.00081,"International Conference on Computers, Information Processing and Advanced Education, CIPAE"
10.1145/3577193.3593734,"ACM International Conference on Supercomputing, ICS"
10.1145/3606843.3606859,"International Conference on Information Technology and Computer Communications, ITCC"
10.1145/3543873.3587586,"World Wide Web Conference, WWW"
